3-gram:
 by	-0.69314718056
 be	-0.69314718056
 ca	-2.19722457734
 ch	-1.50407739678
 cl	-1.09861228867
 co	-1.09861228867
 a 	-1.79175946923
 ab	-1.79175946923
 al	-2.48490664979
 an	-1.38629436112
 ap	-2.48490664979
 as	-2.48490664979
 ar	-1.79175946923
 fa	-1.79175946923
 fr	-1.79175946923
 fe	-1.79175946923
 fo	-0.69314718056
 gh	0.0
 di	-1.09861228867
 dr	-1.09861228867
 do	-1.09861228867
 el	0.0
 ju	0.0
y p	-1.60943791243
y c	-1.60943791243
y w	-1.60943791243
y o	-0.916290731874
 ha	-0.916290731874
 hi	-1.60943791243
 he	-1.60943791243
 ho	-1.60943791243
 is	-0.287682072452
 it	-1.38629436112
 ne	-1.38629436112
 no	-0.287682072452
 ov	-1.79175946923
 on	-1.79175946923
 ou	-1.79175946923
 of	-0.69314718056
 lo	0.0
 mu	-0.69314718056
 mo	-0.69314718056
gge	0.0
 sh	-0.69314718056
 se	-0.69314718056
ger	0.0
 wi	-1.79175946923
 wh	-1.09861228867
 we	-1.09861228867
 wa	-1.79175946923
 th	-0.587786664902
 te	-2.19722457734
 tu	-2.19722457734
 to	-1.50407739678
 us	-0.405465108108
 un	-1.09861228867
got	0.0
gns	0.0
gic	0.0
gho	0.0
 Co	0.0
ld 	0.0
le 	0.0
e<end> 	0.0
lat	0.0
los	0.0
tte	0.0
 I 	0.0
ts<end>	0.0
liz	0.0
tne	0.0
to 	-0.69314718056
tol	-0.69314718056
lut	0.0
ls 	-0.69314718056
lse	-0.69314718056
tha	-1.94591014906
thi	-1.94591014906
the	-0.559615787935
th 	-1.94591014906
tim	0.0
ter	0.0
tch	0.0
ly 	0.0
dow	0.0
yon	0.0
did	0.0
de 	0.0
<end>  	0.0
d e	-1.38629436112
d t	-1.38629436112
d w	-1.38629436112
d n	-1.38629436112
g o	0.0
mag	0.0
dri	0.0
 re	0.0
que	0.0
l a	-0.69314718056
l p	-0.69314718056
 pr	0.0
t, 	0.0
kli	0.0
t A	-2.07944154168
t c	-2.07944154168
t d	-2.07944154168
t K	-2.07944154168
t o	-0.980829253012
t w	-2.07944154168
em 	0.0
ell	0.0
en 	-0.510825623766
enc	-1.60943791243
ent	-1.60943791243
eep	0.0
